Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,leaf1,Ethernet53/1,l3spine,spine1,Ethernet1/1,True
leaf,leaf1,Ethernet54/1,l3spine,spine2,Ethernet1/1,True
leaf,leaf1,Ethernet55/1,mlag_peer,leaf2,Ethernet55/1,True
leaf,leaf1,Ethernet56/1,mlag_peer,leaf2,Ethernet56/1,True
leaf,leaf2,Ethernet53/1,l3spine,spine1,Ethernet2/1,True
leaf,leaf2,Ethernet54/1,l3spine,spine2,Ethernet2/1,True
leaf,leaf2,Ethernet55/1,mlag_peer,leaf1,Ethernet55/1,True
leaf,leaf2,Ethernet56/1,mlag_peer,leaf1,Ethernet56/1,True
leaf,leaf3,Ethernet53/1,l3spine,spine1,Ethernet3/1,True
leaf,leaf3,Ethernet54/1,l3spine,spine2,Ethernet3/1,True
leaf,leaf3,Ethernet55/1,mlag_peer,leaf4,Ethernet55/1,True
leaf,leaf3,Ethernet56/1,mlag_peer,leaf4,Ethernet56/1,True
leaf,leaf4,Ethernet53/1,l3spine,spine1,Ethernet4/1,True
leaf,leaf4,Ethernet54/1,l3spine,spine2,Ethernet4/1,True
leaf,leaf4,Ethernet55/1,mlag_peer,leaf3,Ethernet55/1,True
leaf,leaf4,Ethernet56/1,mlag_peer,leaf3,Ethernet56/1,True
leaf,leaf5,Ethernet29/1,l3spine,spine1,Ethernet5/1,True
leaf,leaf5,Ethernet30/1,l3spine,spine2,Ethernet5/1,True
leaf,leaf5,Ethernet31/1,mlag_peer,leaf6,Ethernet31/1,True
leaf,leaf5,Ethernet32/1,mlag_peer,leaf6,Ethernet32/1,True
leaf,leaf6,Ethernet29/1,l3spine,spine1,Ethernet6/1,True
leaf,leaf6,Ethernet30/1,l3spine,spine2,Ethernet6/1,True
leaf,leaf6,Ethernet31/1,mlag_peer,leaf5,Ethernet31/1,True
leaf,leaf6,Ethernet32/1,mlag_peer,leaf5,Ethernet32/1,True
l3spine,spine1,Ethernet1/1,leaf,leaf1,Ethernet53/1,True
l3spine,spine1,Ethernet2/1,leaf,leaf2,Ethernet53/1,True
l3spine,spine1,Ethernet3/1,leaf,leaf3,Ethernet53/1,True
l3spine,spine1,Ethernet4/1,leaf,leaf4,Ethernet53/1,True
l3spine,spine1,Ethernet5/1,leaf,leaf5,Ethernet29/1,True
l3spine,spine1,Ethernet6/1,leaf,leaf6,Ethernet29/1,True
l3spine,spine1,Ethernet31/1,mlag_peer,spine2,Ethernet31/1,True
l3spine,spine1,Ethernet32/1,mlag_peer,spine2,Ethernet32/1,True
l3spine,spine2,Ethernet1/1,leaf,leaf1,Ethernet54/1,True
l3spine,spine2,Ethernet2/1,leaf,leaf2,Ethernet54/1,True
l3spine,spine2,Ethernet3/1,leaf,leaf3,Ethernet54/1,True
l3spine,spine2,Ethernet4/1,leaf,leaf4,Ethernet54/1,True
l3spine,spine2,Ethernet5/1,leaf,leaf5,Ethernet30/1,True
l3spine,spine2,Ethernet6/1,leaf,leaf6,Ethernet30/1,True
l3spine,spine2,Ethernet31/1,mlag_peer,spine1,Ethernet31/1,True
l3spine,spine2,Ethernet32/1,mlag_peer,spine1,Ethernet32/1,True
